# MEAN_SAMPLE_SIZE = 4448
# TOTAL_GENES = 18367
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
chest-congestion                      SET       8     -0.11743   -0.0024503      0.31291      0.64627 chest-congestion
chlamydia                             SET       7     -0.37922   -0.0074021      0.33955      0.86796 chlamydia
cholera                               SET       3       0.1416    0.0018096      0.63426      0.41167 cholera
cholesterol                           SET      12     -0.11574   -0.0029575      0.29242      0.65387 cholesterol
chronic-eosinophilic-leukemi...       SET       8      0.41254    0.0086082      0.38476      0.14182 chronic-eosinophilic-leukemia-(CEL)
chronic-kidney-disease-(CKD)          SET       2      -0.7011   -0.0073159      0.77645      0.81672 chronic-kidney-disease-(CKD)
chronic-lymphocytic-leukemia...       SET      24      0.14927    0.0053925      0.21517      0.24393 chronic-lymphocytic-leukemia-(CLL)
chronic-myeloid-leukemia-(CM...       SET      57      0.27653     0.015381        0.137      0.02178 chronic-myeloid-leukemia-(CML)
chronic-myelomonocytic-leuke...       SET       2      0.56656    0.0059119      0.76411      0.22921 chronic-myelomonocytic-leukemia-(CMMoL)
chronic-obstructive-pulmonar...       SET      12    -0.075375    -0.001926       0.2754      0.60784 chronic-obstructive-pulmonary-disease-(COPD)
chronic-renal-failure                 SET      11     -0.28421   -0.0069534      0.26628      0.85708 chronic-renal-failure
chronic-stable-angina                 SET      15      0.41032     0.011721      0.28013     0.071509 chronic-stable-angina
claudication                          SET      29      0.40468     0.016068      0.16445    0.0069354 claudication
colitis                               SET       3      0.26065     0.003331      0.52407      0.30947 colitis
colorectal-cancer                     SET      22     0.013233   0.00045772      0.21026      0.47491 colorectal-cancer
common-cold                           SET       6     -0.58833    -0.010632      0.41663      0.92103 common-cold
congenital-adrenal-hyperplas...       SET       2     -0.51967   -0.0054227      0.62423      0.79743 congenital-adrenal-hyperplasia
congenital-heart-defects              SET      10      0.27423    0.0063972      0.27917      0.16298 congenital-heart-defects
congestive-heart-failure              SET      71     -0.10553   -0.0065485      0.11231      0.82629 congestive-heart-failure
conjunctivitis                        SET      28     0.023909   0.00093284      0.17715      0.44632 conjunctivitis
constipation                          SET       5     -0.78862     -0.01301      0.47287      0.95231 constipation
contraceptive                         SET      10     -0.20332   -0.0047431      0.32757       0.7326 contraceptive
coronary-artery-disease-(CAD)         SET      36      0.17377    0.0076859      0.15546      0.13184 coronary-artery-disease-(CAD)
coronary-heart-disease                SET      11      0.01067   0.00026106       0.3155      0.48651 coronary-heart-disease
corticosteroid-responsive-de...       SET       6     -0.44946   -0.0081224      0.37149      0.88682 corticosteroid-responsive-dermatoses
cosmetic                              SET      25     0.028692    0.0010579      0.19128      0.44038 cosmetic
cough-suppressant                     SET      23     -0.22703    -0.008029      0.20285      0.86846 cough-suppressant
Crohn's-disease                       SET       5     0.052832   0.00087159      0.32966      0.43634 Crohn's-disease
Cushing's-syndrome                    SET       6     -0.39894   -0.0072095      0.42453      0.82631 Cushing's-syndrome
cutaneous-candidiasis                 SET       4      0.96061     0.014175      0.41976     0.011061 cutaneous-candidiasis
cutaneous-T-cell-lymphoma-(C...       SET      12    -0.019743   -0.0005045      0.26299      0.52992 cutaneous-T-cell-lymphoma-(CTCL)
cyclitis                              SET       3     -0.61758   -0.0078924      0.60764      0.84526 cyclitis
cycloplegia-diagnostic                SET       2     -0.60518    -0.006315      0.74312      0.79228 cycloplegia-diagnostic
cystic-hydatid-disease                SET       3    -0.057648  -0.00073672      0.43272      0.55299 cystic-hydatid-disease
deep-vein-thrombosis-(DVT)            SET       7     0.046644   0.00091044      0.29283      0.43672 deep-vein-thrombosis-(DVT)
depression                            SET      78     -0.14882   -0.0096779      0.11896      0.89453 depression
dermatitis                            SET       9     -0.31382   -0.0069452      0.28495      0.86462 dermatitis
dermatitis-herpetiformis-(DH)         SET       5     -0.75258    -0.012416       0.4254      0.96155 dermatitis-herpetiformis-(DH)
dermatofibrosarcoma-protuber...       SET       8      0.41254    0.0086082      0.38476      0.14182 dermatofibrosarcoma-protuberans-(DFSP)
dermatographism                       SET      10     -0.28538   -0.0066572      0.32879      0.80729 dermatographism
dermatomyositis                       SET       2     -0.51967   -0.0054227      0.62423      0.79743 dermatomyositis
diabetes-mellitus                     SET      31     -0.23323    -0.009574      0.17657      0.90672 diabetes-mellitus
diabetic-nephropathy                  SET      10     -0.42936    -0.010016      0.29199      0.92927 diabetic-nephropathy
diarrhea                              SET      28    -0.041872   -0.0016337       0.1624      0.60173 diarrhea
diphtheria                            SET       7     -0.37922   -0.0074021      0.33955      0.86796 diphtheria
dizziness                             SET       8     -0.46807   -0.0097669      0.37496      0.89404 dizziness
drowsiness                            SET      49      0.24809     0.012797      0.13698     0.035072 drowsiness
duodenal-ulcer-disease                SET      12    -0.057974   -0.0014814      0.24439      0.59376 duodenal-ulcer-disease
dyskinesia                            SET       8      0.57886     0.012079      0.32896     0.039239 dyskinesia
dyspepsia                             SET       7     -0.15494   -0.0030244       0.2928      0.70166 dyspepsia
ear-infections                        SET       8     -0.47059   -0.0098193       0.2723      0.95801 ear-infections
eczema                                SET      17     -0.49076    -0.014924      0.24184      0.97878 eczema
edema                                 SET      25     -0.35557     -0.01311      0.17826      0.97695 edema
Ehlers-Danlos-syndrome-(EDS)          SET       3     -0.76189   -0.0097367      0.62299      0.88932 Ehlers-Danlos-syndrome-(EDS)
emphysema                             SET      18      0.27006    0.0084503      0.21117      0.10048 emphysema
encephalomyelitis                     SET       2    -0.024499  -0.00025565      0.44097      0.52215 encephalomyelitis
endocarditis                          SET       2    -0.058847  -0.00061406      0.78413      0.52991 endocarditis
endocrine-adenoma                     SET       4    -0.040559   -0.0005985      0.38982      0.54143 endocrine-adenoma
endometriosis                         SET      10    -0.068832   -0.0016057      0.32135       0.5848 endometriosis
endotracheal-intubation               SET       4      -1.1029    -0.016275      0.54814      0.97789 endotracheal-intubation
enteritis                             SET       6     -0.21044   -0.0038029      0.36693      0.71685 enteritis
enterocolitis                         SET       4    -0.060748  -0.00089641      0.51661       0.5468 enterocolitis
epicondylitis                         SET       2     -0.51967   -0.0054227      0.62423      0.79743 epicondylitis
epilepsy                              SET      68    -0.079518   -0.0048295      0.12388      0.73952 epilepsy
erectile-dysfunction                  SET      18    -0.098744   -0.0030898      0.22531       0.6694 erectile-dysfunction
erythrasma                            SET       7     -0.37922   -0.0074021      0.33955      0.86796 erythrasma
esophageal-candidiasis                SET       6      0.10025    0.0018117      0.36751      0.39251 esophageal-candidiasis
extrapyramidal-symptoms-(EPS)         SET       3      0.26658    0.0034068      0.55311      0.31491 extrapyramidal-symptoms-(EPS)
eye-inflammation                      SET       3     -0.58126   -0.0074283      0.59433      0.83596 eye-inflammation
eye-irritation                        SET       2      -1.2708     -0.01326       0.7477      0.95538 eye-irritation
facial-hair-reduction                 SET       2     -0.37946   -0.0039596      0.62706      0.72745 facial-hair-reduction
fatigue                               SET      53      0.17621    0.0094524      0.13253     0.091834 fatigue
fescue-toxicosis                      SET       2      0.76659    0.0079992      0.73407      0.14818 fescue-toxicosis
fever                                 SET      40     -0.12746   -0.0059418      0.15422      0.79572 fever
fibrinolytic-bleeding                 SET       3       0.3844    0.0049125       0.5981      0.26021 fibrinolytic-bleeding
filariasis                            SET       2      0.44372    0.0046301      0.76643      0.28132 filariasis
first-aid-antibiotic                  SET       7     -0.45106   -0.0088042      0.34608      0.90376 first-aid-antibiotic
first-aid-antiseptic                  SET       5     -0.44636   -0.0073638      0.47915      0.82421 first-aid-antiseptic
follicular-lymphoma                   SET       4      0.26244    0.0038726      0.51102      0.30379 follicular-lymphoma
fungicide                             SET       2     -0.13865   -0.0014468      0.50563      0.60804 fungicide
gallstones                            SET       2        0.208    0.0021705      0.62141      0.36892 gallstones
gastric-adenocarcinoma                SET      23      0.14316    0.0050631      0.20576      0.24329 gastric-adenocarcinoma
gastritis                             SET       2      -1.2887    -0.013447      0.76989      0.95291 gastritis
gastroesophageal-reflux-dise...       SET       8      0.12708    0.0026516      0.31158      0.34169 gastroesophageal-reflux-disease-(GERD)
gastrointestinal-parasites            SET       2     -0.19654   -0.0020509      0.39741      0.68954 gastrointestinal-parasites
gastrointestinal-roundworms           SET       2     -0.73684   -0.0076888      0.55456      0.90802 gastrointestinal-roundworms
gastrointestinal-stromal-tum...       SET      21      0.12243    0.0041374      0.22956      0.29691 gastrointestinal-stromal-tumors-(GIST)
gastroparesis                         SET       8      0.16448    0.0034321      0.34433      0.31644 gastroparesis
general-anaesthetic                   SET      19      -0.0244  -0.00078438      0.25105      0.53871 general-anaesthetic
generalized-anxiety-disorder...       SET      12    -0.034775  -0.00088861      0.29409      0.54706 generalized-anxiety-disorder-(GAD)
genital-warts                         SET       4     -0.48848   -0.0072082      0.35866      0.91339 genital-warts
genitial-herpes                       SET       4     -0.39544   -0.0058351       0.5211      0.77602 genitial-herpes
genitourinary-tract-infectio...       SET       4     -0.13449   -0.0019846      0.38867      0.63534 genitourinary-tract-infections
giardiasis                            SET       2      -1.0334    -0.010784      0.51865      0.97684 giardiasis
glaucoma                              SET      25     -0.17999   -0.0066362      0.19081      0.82723 glaucoma
glioblastoma                          SET       2      0.36798    0.0038398      0.73454       0.3082 glioblastoma
goiter                                SET       2      -1.2153    -0.012681      0.66271      0.96665 goiter
gonorrhea                             SET       5    -0.034686  -0.00057224      0.33344      0.54143 gonorrhea
gout                                  SET      26    -0.059969   -0.0022547      0.19591      0.62023 gout
gram-positive-bacterial-infe...       SET       5     -0.20754   -0.0034239      0.37981      0.70761 gram-positive-bacterial-infections
Grave's-disease                       SET       2      -1.2153    -0.012681      0.66271      0.96665 Grave's-disease
hairy-cell-leukemia                   SET       9     -0.13206   -0.0029226      0.28963      0.67579 hairy-cell-leukemia
head-and-neck-squamous-cell-...       SET      24      0.16893    0.0061028      0.20299      0.20265 head-and-neck-squamous-cell-carcinoma-(HNSCC)
headache                              SET      88     -0.15895    -0.010976       0.1071       0.9311 headache
heart-attack                          SET       3        0.368     0.004703      0.62701      0.27863 heart-attack
heart-block                           SET       3      -0.3992   -0.0051016      0.63342      0.73572 heart-block
heartburn                             SET       6     0.052711   0.00095257      0.40891      0.44872 heartburn
hemorrhage                            SET      13     -0.30224   -0.0080384      0.29298      0.84887 hemorrhage
hemorrhagic-cystitis                  SET      10     -0.22096   -0.0051546      0.39222       0.7134 hemorrhagic-cystitis
hemorrhoids                           SET       3     -0.43329   -0.0055373      0.63821       0.7514 hemorrhoids
hepatic-cirrhosis                     SET      34    -0.095672   -0.0041126      0.16049      0.72445 hepatic-cirrhosis
hepatic-injury                        SET      11     -0.45142    -0.011044      0.29085      0.93967 hepatic-injury
hepatitis-C                           SET       5      0.38901    0.0064176      0.41607      0.17491 hepatitis-C
hepatocellular-carcinoma-(HC...       SET      11     -0.20923   -0.0051189      0.31205      0.74872 hepatocellular-carcinoma-(HCC)
heterotopic-ossification              SET       2     -0.42016   -0.0043843      0.54025      0.78163 heterotopic-ossification
Hodgkin's-lymphoma                    SET      14      0.14882    0.0041073      0.28092      0.29814 Hodgkin's-lymphoma
hookworm                              SET       3    -0.057648  -0.00073672      0.43272      0.55299 hookworm
human-immunodeficiency-virus...       SET      16     -0.12165   -0.0035891      0.25805      0.68133 human-immunodeficiency-virus-(HIV-1)
Huntington's-disease                  SET       2      0.17472    0.0018232      0.78664      0.41211 Huntington's-disease
hyperaldosteronism                    SET      21   -0.0049222  -0.00016635       0.2084      0.50942 hyperaldosteronism
hypercalcemia                         SET       8     -0.31604   -0.0065947      0.31934      0.83883 hypercalcemia
hypercholesterolemia                  SET      12      0.34955    0.0089319      0.28414      0.10932 hypercholesterolemia
hypereosinophilic-syndrome-(...       SET       8      0.41254    0.0086082      0.38476      0.14182 hypereosinophilic-syndrome-(HES)
hyperglycemia                         SET      16     -0.53276    -0.015718      0.25833       0.9804 hyperglycemia
hyperlipidemia                        SET      11     0.016035    0.0003923      0.28331      0.47743 hyperlipidemia
hyperparathyroidism                   SET       3     -0.48176   -0.0061567      0.60041      0.78883 hyperparathyroidism
hyperphenylalaninemia-(HPA)           SET       4     -0.39544   -0.0058352      0.51069      0.78063 hyperphenylalaninemia-(HPA)
hyperprolactinemia                    SET      23     -0.14652   -0.0051817      0.22131      0.74603 hyperprolactinemia
hypertension                          SET     158    -0.098863   -0.0091302     0.079151      0.89417 hypertension
hyperthyroidism                       SET       3     -0.90298     -0.01154      0.56731      0.94427 hyperthyroidism
hypertriglyceridemia                  SET      19     -0.51176    -0.016452       0.2479       0.9805 hypertriglyceridemia
hypertrophic-gastritis-(GHG)          SET       2      0.33264     0.003471      0.71785      0.32155 hypertrophic-gastritis-(GHG)
hyperuricemia                         SET       6       0.1291     0.002333      0.43496      0.38331 hyperuricemia
hypoestrogenism                       SET       3     -0.40221   -0.0051401      0.60026      0.74859 hypoestrogenism
hypoglycemia                          SET       7     -0.29062   -0.0056727      0.36592      0.78646 hypoglycemia
hypokalemia                           SET      25     -0.10411   -0.0038386      0.18869      0.70944 hypokalemia
hyponatremia                          SET       2      0.48613    0.0050727      0.78241       0.2672 hyponatremia
hypotension                           SET      27    -0.099788   -0.0038233      0.18965      0.70061 hypotension
hypothyroidism                        SET       2       1.3507     0.014095      0.67996     0.023497 hypothyroidism
ichthyosis-vulgaris                   SET       3     -0.78937    -0.010088       0.4592      0.95718 ichthyosis-vulgaris
idiopathic-pulmonary-fibrosi...       SET      11    -0.050804    -0.001243      0.29206      0.56905 idiopathic-pulmonary-fibrosis-(IPF)
indigestion                           SET       7     -0.14872   -0.0029029      0.34287      0.66776 indigestion
infertility                           SET       9      0.20012     0.004429      0.28487      0.24119 infertility
inflammatory-bowel-disease            SET       9     -0.25076   -0.0055496      0.32964      0.77658 inflammatory-bowel-disease
influenza-A-virus-infection           SET      10      0.16115    0.0037592      0.31061      0.30195 influenza-A-virus-infection
insomnia                              SET      25   -0.0047163  -0.00017389      0.18841      0.50999 insomnia
interstitial-cystitis-(IC)            SET       4    -0.060748  -0.00089641      0.51661       0.5468 interstitial-cystitis-(IC)
intra-abdominal-infections            SET       2      0.24793    0.0025871      0.56126      0.32934 intra-abdominal-infections
intraocular-pressure                  SET      21     -0.22285   -0.0075311      0.19952      0.86798 intraocular-pressure
iritis                                SET       3     -0.61758   -0.0078924      0.60764      0.84526 iritis
iron-overload                         SET       2      -1.1242    -0.011731      0.69303      0.94761 iron-overload
irritability                          SET      20     -0.15662   -0.0051655      0.23355      0.74876 irritability
irritable-bowel-syndrome              SET      13     -0.27626   -0.0073473      0.24186      0.87331 irritable-bowel-syndrome
itching                               SET       9     -0.25375   -0.0056158      0.35596      0.76203 itching
jaundice                              SET       2     -0.21545   -0.0022482      0.68314      0.62376 jaundice
joint-pain                            SET      19     -0.11605   -0.0037306      0.20902      0.71062 joint-pain
keratosis                             SET      24    -0.028156   -0.0010172      0.19197       0.5583 keratosis
labor-induction                       SET       8     -0.15006   -0.0031311      0.36304      0.66032 labor-induction
listeria                              SET       7     -0.37922   -0.0074021      0.33955      0.86796 listeria
local-anesthetic                      SET       3     -0.48719   -0.0062261       0.6498       0.7733 local-anesthetic
lupus                                 SET       4     -0.52736   -0.0077819      0.54816      0.83198 lupus
lymphangioleiomyomatosis              SET       2      0.08442   0.00088091      0.77164      0.45644 lymphangioleiomyomatosis
malaria                               SET      19     -0.31584    -0.010153      0.21764      0.92662 malaria
malignant-hyperthermia-(MH)           SET       2      -1.2062    -0.012586      0.75338       0.9453 malignant-hyperthermia-(MH)
mantle-cell-lymphoma-(MCL)            SET      24     0.032071    0.0011586      0.17549       0.4275 mantle-cell-lymphoma-(MCL)
mastocytoma                           SET       4      0.25011    0.0036907      0.54533      0.32325 mastocytoma
medullary-thyroid-cancer-(MT...       SET      27     -0.14105    -0.005404      0.18724      0.77436 medullary-thyroid-cancer-(MTC)
megaloblastic-anemia                  SET       4     -0.64482   -0.0095151      0.51761      0.89357 megaloblastic-anemia
melanoma                              SET      11     -0.19262   -0.0047125      0.28183      0.75283 melanoma
Meniere's-disease                     SET       2     -0.64426   -0.0067227      0.67165      0.83127 Meniere's-disease
meningitis                            SET      10     0.059483    0.0013876      0.32664      0.42775 meningitis
menopause                             SET      30     0.034384    0.0013885      0.18331       0.4256 menopause
menstrual-pain                        SET       5     -0.10958   -0.0018077      0.43836      0.59869 menstrual-pain
mesothelioma                          SET       4      0.04618   0.00068145      0.43836      0.45805 mesothelioma
migraine-headache                     SET      73     -0.17761    -0.011175      0.12269      0.92614 migraine-headache
motion-sickness                       SET       8     -0.31545   -0.0065822      0.33131      0.82947 motion-sickness
mouth-inflammation                    SET      23      0.15314     0.005416      0.19182      0.21234 mouth-inflammation
mucositis                             SET       4      0.17146    0.0025301      0.34585      0.31003 mucositis
multiple-myeloma                      SET      47      0.12038    0.0060821      0.13412      0.18471 multiple-myeloma
multiple-sclerosis                    SET      53     0.052817    0.0028332      0.13172      0.34422 multiple-sclerosis
muscle-pain                           SET      42     -0.15318   -0.0073168      0.14764      0.85024 muscle-pain
muscle-relaxant                       SET      32     0.043185     0.001801      0.17075      0.40017 muscle-relaxant
myasthenia-gravis                     SET       2      0.37697    0.0039336      0.55139      0.24709 myasthenia-gravis
mycosis                               SET       2     -0.51967   -0.0054227      0.62423      0.79743 mycosis
mydriasis-diagnostic                  SET       2     -0.60518    -0.006315      0.74312      0.79228 mydriasis-diagnostic
myelodysplastic-diseases-(MD...       SET      11      0.39588    0.0096854      0.32326      0.11037 myelodysplastic-diseases-(MDS)
myelofibrosis                         SET       5    -0.024762  -0.00040851      0.45679      0.52162 myelofibrosis
myocardial-infarction                 SET      21      0.32105      0.01085      0.21105     0.064112 myocardial-infarction
myxedema-coma                         SET       2       1.3507     0.014095      0.67996     0.023497 myxedema-coma
narcolepsy                            SET      20     -0.23284   -0.0076795      0.22527      0.84933 narcolepsy
nasal-congestion                      SET      12     -0.10441   -0.0026679      0.29881      0.63661 nasal-congestion
nausea                                SET      37     -0.09858   -0.0044202      0.16718      0.72228 nausea
navicular-syndrome                    SET       3      0.26794    0.0034241      0.47657      0.28699 navicular-syndrome
nephrotic-syndrome                    SET      36     -0.10504    -0.004646      0.15667      0.74872 nephrotic-syndrome
neuroblastoma                         SET      10     -0.10365   -0.0024179       0.3766      0.60843 neuroblastoma
neuroendocrine-tumors-of-pan...       SET      11      0.20425    0.0049971      0.31083      0.25556 neuroendocrine-tumors-of-pancreatic-origin-(PNET)
neurogenic-bladder                    SET       2     -0.43429   -0.0045317      0.71989      0.72683 neurogenic-bladder
nicotinism                            SET       7      0.04258   0.00083112      0.36419      0.45346 nicotinism
nocturnal-enuresis                    SET      23     -0.14437   -0.0051056      0.21738      0.74669 nocturnal-enuresis
non-Hodgkin-lymphoma-(NHL)            SET       7      0.28463    0.0055558      0.35133      0.20893 non-Hodgkin-lymphoma-(NHL)
non-small-cell-lung-cancer-(...       SET      40      0.14054    0.0065517      0.15321      0.17949 non-small-cell-lung-cancer-(NSCLC)
obesity                               SET      20     -0.23284   -0.0076795      0.22527      0.84933 obesity
obsessive-compulsive-disorde...       SET      12     0.033261   0.00084992      0.28989      0.45433 obsessive-compulsive-disorder-(OCD)
ocular-hypertension                   SET      16     -0.25692   -0.0075799      0.23037      0.86762 ocular-hypertension
onchocerciasis                        SET      10     -0.19409   -0.0045278      0.28783      0.74995 onchocerciasis
organ-rejection                       SET       4     0.057707   0.00085154      0.42976      0.44659 organ-rejection
organophosphate-poisoning             SET       2      0.37697    0.0039336      0.55139      0.24709 organophosphate-poisoning
oropharyngeal-candidiasis             SET       7     0.072714    0.0014193      0.36632      0.42133 oropharyngeal-candidiasis
osteoarthritis                        SET      27     -0.12244    -0.004691      0.19816      0.73167 osteoarthritis
osteoporosis                          SET      12     -0.13588   -0.0034721      0.26048      0.69904 osteoporosis
otitis                                SET       5     -0.26556    -0.004381      0.33603      0.78531 otitis
ovarian-cancer                        SET      39     0.054516    0.0025095      0.15988      0.36656 ovarian-cancer
Paget's-disease                       SET       4     -0.13951   -0.0020587      0.37185      0.64623 Paget's-disease
pain-relief                           SET      17      0.13333    0.0040547      0.24225      0.29102 pain-relief
pancreatic-cancer                     SET       7       0.7168     0.013991      0.40545     0.038547 pancreatic-cancer
pancreatitis                          SET       4     -0.48644   -0.0071781       0.5311      0.82014 pancreatitis
panic-disorders                       SET      11      0.08472    0.0020728      0.30908        0.392 panic-disorders
parenchymal-neurocysticercos...       SET       3    -0.057648  -0.00073672      0.43272      0.55299 parenchymal-neurocysticercosis
Parkinson's-Disease                   SET      43      0.12255     0.005923      0.15009       0.2071 Parkinson's-Disease
pelvic-inflammatory-disease           SET       8     -0.29617     -0.00618      0.32454      0.81926 pelvic-inflammatory-disease
peptic-ulcer-disease-(PUD)            SET      39      0.03045    0.0014017       0.1389      0.41324 peptic-ulcer-disease-(PUD)
periarthritis                         SET       2     -0.35092   -0.0036618      0.70898      0.68969 periarthritis
peripheral-artery-disease-(P...       SET      33      0.26421     0.011189      0.16257      0.05207 peripheral-artery-disease-(PAD)
peripheral-neuropathy                 SET       5      0.20791      0.00343      0.46415       0.3271 peripheral-neuropathy
peripheral-T-cell-lymphoma-(...       SET      10     -0.14568   -0.0033984      0.28012      0.69849 peripheral-T-cell-lymphoma-(PTCL)
