# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
441869       1    1353300    1357824     30      11  181476      0.28741    5.2458e-14      0.28741
643965       1    1360508    1363667     26       9  191842      0.30302    5.2458e-14      0.30302
64856        1    1369903    1378762     38      14  183806      0.18503    5.2486e-14      0.18503
219293       1    1377152    1406038    146      37   67691     0.093863    5.2486e-14     0.093863
83858        1    1406139    1445352    205      40   49973       1.2202    5.2403e-14       1.2202
55210        1    1446523    1470567    150      42  139759     -0.21187    5.2486e-14     -0.21187
339453       1    1469658    1476740     24      13  123771     -0.89069    5.2514e-14     -0.89069
29101        1    1476553    1511262    151      26  260985      0.26394    5.2458e-14      0.26394
643988       1    1532888    1536476      9       6  111710      0.57577    5.2514e-14      0.57577
142678       1    1549795    1566490     69      21  173314     -0.95377    5.2514e-14     -0.95377
8510         1    1566060    1570530      4       2  136363      -1.6096    5.2403e-14      -1.6096
984          1    1570600    1591473     33       9  245581      -1.7685    5.2403e-14      -1.7685
728661       1    1590986    1625243    110      36  119681       -1.934    5.2403e-14       -1.934
728642       1    1633322    1656999     69      12   69913       1.2998    5.2403e-14       1.2998
9906         1    1655777    1678438     75      28  100437       1.8542    5.2403e-14       1.8542
65220        1    1682171    1712508    141      34  228870       0.3797    5.2458e-14       0.3797
2782         1    1716225    1823552    369      72  179118      0.53684    5.2514e-14      0.53684
163688       1    1845266    1849233     23       8  295480     -0.17879    5.2486e-14     -0.17879
339456       1    1848529    1851740     16       6  303477      0.78488    5.2514e-14      0.78488
85452        1    1852890    1936276    572      58  226701       -1.162    5.2403e-14       -1.162
2563         1    1949768    1962692     67      23  139933      0.59504    5.2514e-14      0.59504
5590         1    1980909    2117334    835      73  216467      0.56286    5.2514e-14      0.56286
100506504    1    2112750    2116812     18      12  136064      -0.7964    5.2514e-14      -0.7964
199990       1    2115399    2145159    111      39  200824     -0.34411    5.2458e-14     -0.34411
6497         1    2159134    2242152    431      99  218005      -1.1967    5.2403e-14      -1.1967
79906        1    2251219    2324190    488      77  273510     -0.66719    5.2514e-14     -0.66719
11079        1    2322214    2337383     70      28  260503       1.6926    5.2403e-14       1.6926
5192         1    2335741    2345010     52      21  258703       1.7713    5.2403e-14       1.7713
9651         1    2406754    2437464    174      50  167851    -0.051056    5.2479e-14    -0.051056
55229        1    2439475    2459061    116      31  176896    -0.031362    5.2479e-14    -0.031362
388585       1    2459684    2462684      8       5  126627    -0.032384    5.2479e-14    -0.032384
8764         1    2486291    2495768     42      16  244570       1.4585    5.2403e-14       1.4585
127281       1    2516899    2523408     38      22  158042       -0.894    5.2514e-14       -0.894
79258        1    2521578    2565499    259      25  278390      -1.3484    5.2403e-14      -1.3484
100287898    1    2572307    2707230    169      43  194386     -0.31738    5.2458e-14     -0.31738
140625       1    2937046    2939967     18       9  113866      -1.2503    5.2403e-14      -1.2503
63976        1    2984565    3355685   2570     267  215967      0.09329    5.2486e-14      0.09329
27237        1    3370147    3398177    179      35  237622     -0.17366    5.2486e-14     -0.17366
1953         1    3404006    3529059    867     133  232821       -0.162    5.2486e-14       -0.162
127262       1    3540556    3547195     33      11  232106    -0.040567    5.2479e-14    -0.040567
49856        1    3546831    3567671    106      31  182339     -0.31973    5.2458e-14     -0.31973
7161         1    3568129    3653265    503      93  239839      -1.5091    5.2403e-14      -1.5091
148870       1    3667965    3688709    135      41  217704     -0.36054    5.2458e-14     -0.36054
388588       1    3688352    3693046     29      14  311229      0.22289    5.2486e-14      0.22289
57470        1    3696284    3714068    136      31  296879       1.1557    5.2403e-14       1.1557
9731         1    3728145    3774797    406      30  338644      0.21507    5.2486e-14      0.21507
1677         1    3772845    3802493    273      40  269473     -0.37682    5.2458e-14     -0.37682
339448       1    3805197    3817857     88      20  285532     -0.42517    5.2458e-14     -0.42517
55966        1    4714105    4844351    966     124  300369       2.2584    5.2403e-14       2.2584
261734       1    5922370    6053618    724      51  257521      -1.4563    5.2403e-14      -1.4563
8514         1    6051358    6161753    580      94  229876        1.197    5.2403e-14        1.197
26038        1    6161347    6241194    445      68  269704      0.79322    5.2514e-14      0.79322
6146         1    6244580    6260679     58      16  271513      0.72292    5.2514e-14      0.72292
388591       1    6265189    6281859     81      18  230170       1.1834    5.2403e-14       1.1834
23463        1    6280753    6297044     81      22  199863      0.69828    5.2514e-14      0.69828
390992       1    6303252    6306138     13       7  264346      -1.1042    5.2403e-14      -1.1042
387509       1    6306906    6322035     69      12  241907     -0.91283    5.2514e-14     -0.91283
11332        1    6323832    6454826    746      54  241811     -0.85139    5.2514e-14     -0.85139
54626        1    6474792    6485724     43      11  314451     0.021633    5.2479e-14     0.021633
83715        1    6483836    6521504    175      30  285422     0.049833    5.2479e-14     0.049833
8718         1    6520287    6528432     48      21  196669      -1.0758    5.2403e-14      -1.0758
57449        1    6525652    6581121    281      58  226147     -0.75355    5.2514e-14     -0.75355
79707        1    6580907    6615658    181      15  265572     -0.50646    5.2514e-14     -0.50646
80835        1    6613987    6640317    137      32  174137     -0.48301    5.2458e-14     -0.48301
3104         1    6639051    6649840     34      23  165864      0.84806    5.2514e-14      0.84806
9903         1    6650284    6663958     69      27  216336      0.30229    5.2458e-14      0.30229
148479       1    6672756    6684593     42      15  222790     -0.22358    5.2486e-14     -0.22358
90326        1    6683925    6696146     54      15  298001      0.18641    5.2486e-14      0.18641
55735        1    6693728    6762966    270      41  254148        -1.32    5.2403e-14        -1.32
23261        1    6844384    7830266   4584     345  256013     -0.18823    5.2486e-14     -0.18823
9341         1    7830329    7841992     63      20  299789      -2.5569    5.2403e-14      -2.5569
8863         1    7843413    7905741    308      39  334530     -0.66648    5.2514e-14     -0.66648
10911        1    7907172    7914551     39      14  361203      -1.0215    5.2403e-14      -1.0215
3604         1    7975431    8004225    107      24  254265      -1.2749    5.2403e-14      -1.2749
11315        1    8020714    8045842    120      35  191132      0.58935    5.2514e-14      0.58935
54206        1    8071279    8087393     51      18  218011     -0.40792    5.2458e-14     -0.40792
50651        1    8377171    8404727    129      29  297309     -0.61724    5.2514e-14     -0.61724
473          1    8411964    8878699   1459      68  219560    -0.081434    5.2486e-14    -0.081434
2023         1    8920559    8940151     61      21  206274       1.7851    5.2403e-14       1.7851
765          1    9004893    9035651    208      53  259007      -1.4184    5.2403e-14      -1.4184
155184       1    9062859    9087404    139      52  235312     -0.54906    5.2514e-14     -0.54906
6518         1    9096505    9132763    174      36  258776      0.50217    5.2514e-14      0.50217
80045        1    9162972    9190229    115      28  243177       2.4388    5.2403e-14       2.4388
9563         1    9293822    9331896    210      54  219744      0.37045    5.2458e-14      0.37045
80176        1    9334202    9430091    667     114  278533     -0.45684    5.2458e-14     -0.45684
84275        1    9598528    9643331    176      41  147494      0.76254    5.2514e-14      0.76254
199953       1    9647932    9675435    123      36  140525      0.82721    5.2514e-14      0.82721
5293         1    9710789    9789672    382      76  166797     -0.95412    5.2514e-14     -0.95412
22883        1    9788579    9885550    485      31  116027       1.1477    5.2403e-14       1.1477
56998        1    9907834    9971316    281      48  114328      0.55481    5.2514e-14      0.55481
84328        1    9981668   10004460     85      26  247300       1.3667    5.2403e-14       1.3667
64802        1   10002486   10046056    161      40  229848         1.68    5.2403e-14         1.68
116362       1   10056255   10076578     69      15  272936       2.1002    5.2403e-14       2.1002
10277        1   10092041   10241797    593      52  229402       2.4054    5.2403e-14       2.4054
23095        1   10269606   10442164    797      32  314621       1.1055    5.2403e-14       1.1055
5226         1   10457884   10481065     96      22  240334       1.2445    5.2403e-14       1.2445
378708       1   10488944   10510739     88      20  270012      0.90834    5.2514e-14      0.90834
100526739    1   10489159   10512560     93      19  280845      0.97286    5.2514e-14      0.97286
1325         1   10508776   10512560     14       4  405238       1.3698    5.2403e-14       1.3698
1676         1   10520088   10533613     57      26  106531      0.99465    5.2514e-14      0.99465
5195         1   10534003   10691315    613      73  267468       0.2943    5.2458e-14       0.2943
54897        1   10696161   10857733    793     145  231372      0.48417    5.2458e-14      0.48417
148345       1   11006030   11043094    218      43  268408    -0.046934    5.2479e-14    -0.046934
23435        1   11071462   11086049     56      18  206051      -0.2548    5.2458e-14      -0.2548
10747        1   11086080   11108296    110      24  256826      0.30693    5.2458e-14      0.30693
6723         1   11114149   11121091     21       9  233145      0.52891    5.2514e-14      0.52891
5394         1   11126175   11160961    163      19  288880        0.745    5.2514e-14        0.745
2475         1   11166088   11323614    586      30  263894      0.87702    5.2514e-14      0.87702
10218        1   11248346   11256538     31      11  238725       1.3637    5.2403e-14       1.3637
29914        1   11332255   11348991     38       9  322083      0.12693    5.2486e-14      0.12693
57540        1   11538295   11598140    248      37  290834      0.91149    5.2514e-14      0.91149
26232        1   11707424   11715888     41      25  177934      0.71265    5.2514e-14      0.71265
93611        1   11713432   11723884     43      17  276450      0.84249    5.2514e-14      0.84249
26270        1   11723150   11734911     61      22  249941       1.1531    5.2403e-14       1.1531
10459        1   11734037   11752678    110      30  263020      0.39487    5.2458e-14      0.39487
374946       1   11750781   11780836    143      39  229759     -0.60662    5.2514e-14     -0.60662
57085        1   11795142   11811328     72      20  271278      0.86805    5.2514e-14      0.86805
284498       1   11822827   11850142    203      21  340040      0.96811    5.2514e-14      0.96811
4524         1   11845287   11867160    126      24  316702      0.42987    5.2458e-14      0.42987
1185         1   11865153   11903701    289      25  310331      0.54112    5.2514e-14      0.54112
4878         1   11905266   11908840     21       9  324747       1.2277    5.2403e-14       1.2277
4879         1   11917021   11919992      9       6  170483      0.31049    5.2458e-14      0.31049
90231        1   11979145   11987485     52      21  246540     -0.65481    5.2514e-14     -0.65481
5351         1   11993724   12036099    214      37  256012     -0.33562    5.2458e-14     -0.33562
9927         1   12039238   12074072    144      27  249684      -1.0832    5.2403e-14      -1.0832
60672        1   12078299   12092606     50      19  208709       -1.794    5.2403e-14       -1.794
943          1   12122434   12204764    398      91  203119     -0.40169    5.2458e-14     -0.40169
7133         1   12226044   12269779    217      45  244379       0.2791    5.2458e-14       0.2791
55187        1   12289101   12572599    996      59  224636       1.2554    5.2403e-14       1.2554
9249         1   12627439   12678820    275      60  289840      -2.1392    5.2403e-14      -2.1392
343066       1   12703566   12727597    131      28  194468      0.92888    5.2514e-14      0.92888
126767       1   12775118   12789226     86      19  261368     -0.37619    5.2458e-14     -0.37619
93190        1   12805163   12821602     89      18  247627     -0.69319    5.2514e-14     -0.69319
390999       1   12833984   12838549     22       9  245180     -0.85099    5.2514e-14     -0.85099
65121        1   12850546   12857277     25       9   66735      -1.8267    5.2403e-14      -1.8267
440560       1   12883968   12892264     25      11    6885     -0.12375    5.2486e-14     -0.12375
343069       1   12906761   12909578     14       6   10008     -0.46269    5.2458e-14     -0.46269
65122        1   12915941   12922264     33       7  119756      -1.6491    5.2403e-14      -1.6491
400735       1   12938533   12947025     10       7    5531      -0.5062    5.2514e-14      -0.5062
343071       1   12952227   12959094      1       1    7137     0.048134    5.2479e-14     0.048134
440561       1   12997802   13008406      1       1    1843      0.46503    5.2458e-14      0.46503
440563       1   13182460   13185326     14       6  140066        1.047    5.2403e-14        1.047
391003       1   13473553   13478569      1       1    9868      0.72938    5.2514e-14      0.72938
391004       1   13715088   13719564      1       1    4223     -0.98825    5.2514e-14     -0.98825
126755       1   13800945   13841242    281      64  238679       1.3616    5.2403e-14       1.3616
10630        1   13909252   13944952    209      60  217717     -0.48878    5.2458e-14     -0.48878
7799         1   14025714   14152074    626      64  274795    -0.029839    5.2479e-14    -0.029839
23254        1   14218646   15445044   7391     472  269685     -0.57318    5.2514e-14     -0.57318
55092        1   15478028   15547474    504      49  326311     -0.61275    5.2514e-14     -0.61275
727684       1   15490192   15499120     55      16  320374     -0.56353    5.2514e-14     -0.56353
114827       1   15572730   15725267    825     113  256667      0.60481    5.2514e-14      0.60481
79180        1   15735391   15757339    135      42  219034      0.64306    5.2514e-14      0.64306
11330        1   15763938   15773653     43      18  241270      -1.0396    5.2403e-14      -1.0396
63036        1   15782223   15799086    102      24  296853     0.079618    5.2486e-14     0.079618
51032        1   15801596   15818395     84      24  247396       1.6971    5.2403e-14       1.6971
842          1   15817396   15852407    193      23  294429      0.57781    5.2514e-14      0.57781
23341        1   15852343   15898728    180      28  293430      0.99531    5.2514e-14      0.99531
79814        1   15897694   15912605     78      15  301818      0.66894    5.2514e-14      0.66894
84301        1   15942953   15996039    191      23  270778        1.016    5.2403e-14        1.016
6248         1   15985364   15988717     12       5  246620      0.59373    5.2514e-14      0.59373
23207        1   16009632   16061764    249      36  276097       0.4804    5.2458e-14       0.4804
284723       1   16061721   16068384     22       9  205811     -0.87313    5.2514e-14     -0.87313
388595       1   16067987   16074792     43      17  177086       1.2671    5.2403e-14       1.2671
54751        1   16082107   16113589    154      35  209158      -1.3155    5.2403e-14      -1.3155
440567       1   16133157   16135194     15       4  296170     -0.11868    5.2486e-14     -0.11868
23013        1   16173359   16267451    350      49  200322      -1.3633    5.2403e-14      -1.3633
7709         1   16267864   16303627    124      45  201764      -1.0736    5.2403e-14      -1.0736
101928566    1   16301626   16324201    143      33  280973       -1.388    5.2403e-14       -1.388
149563       1   16329731   16333684     30      11  310671      -1.7006    5.2403e-14      -1.7006
27129        1   16340023   16347084     70      11  375215      -2.0559    5.2403e-14      -2.0559
1187         1   16347486   16361048    112      27  284718      -2.1847    5.2403e-14      -2.1847
1188         1   16369231   16384321    155      25  319479      -2.1315    5.2403e-14      -2.1315
348487       1   16383764   16401127     89      17  283158      -2.9888    5.2403e-14      -2.9888
1969         1   16450332   16483582    136      48  187823      -1.0656    5.2403e-14      -1.0656
128272       1   16524099   16540104     84      17  280907      0.41284    5.2458e-14      0.41284
101927546    1   16550843   16554528     14       3  312946      -0.6893    5.2514e-14      -0.6893
79363        1   16557682   16564659     25      11  312850     -0.14188    5.2486e-14     -0.14188
54455        1   16572839   16679965    381      31  278175      0.70697    5.2514e-14      0.70697
26099        1   16692525   16725143    109      26  247157      0.65489    5.2514e-14      0.65489
374955       1   16721601   16764919    217      55  245996      0.26307    5.2458e-14      0.26307
55707        1   16766167   16787085     88      30  252606       1.5322    5.2403e-14       1.5322
100133301    1   16864561   16866698      5       3    5912      0.81269    5.2514e-14      0.81269
55672        1   16888422   16941100      8       5    7213      0.68543    5.2514e-14      0.68543
11223        1   17080629   17091975      2       1    5546     0.027202    5.2479e-14     0.027202
9696         1   17247445   17299974    226      62  111220       1.2687    5.2403e-14       1.2687
4237         1   17300497   17309081     31      12  281993     -0.51795    5.2514e-14     -0.51795
23400        1   17311953   17339467    101      32  240325      0.78011    5.2514e-14      0.78011
6390         1   17344717   17381665    174      25  330757      -1.0168    5.2403e-14      -1.0168
11240        1   17392756   17446948    369      35  305981      -1.7182    5.2403e-14      -1.7182
29943        1   17530621   17573001    287      81  232376      0.21912    5.2486e-14      0.21912
51702        1   17574593   17611228    261      41  300634     -0.30098    5.2458e-14     -0.30098
23569        1   17633690   17690995    397      44  325321     -0.83561    5.2514e-14     -0.83561
353238       1   17697741   17728695    253      32  314399     0.044729    5.2479e-14     0.044729
55920        1   17732751   17767250    172      47  192010     -0.57593    5.2514e-14     -0.57593
55160        1   17845693   18024870    954     116  205985     -0.39006    5.2458e-14     -0.39006
81569        1   18080808   18154058    334      45  245580     0.064665    5.2486e-14     0.064665
84966        1   18433240   18705477   1632     207  261884        0.704    5.2514e-14        0.704
127707       1   18806424   18813040     46      10  389038      0.68406    5.2514e-14      0.68406
5081         1   18956500   19075860    638     132  240388      0.43732    5.2458e-14      0.43732
80834        1   19165593   19187155    165      36  264822     -0.61879    5.2514e-14     -0.61879
8659         1   19197424   19230293    249      46  270722       1.8366    5.2403e-14       1.8366
126917       1   19230274   19283826    308      58  229200       1.6175    5.2403e-14       1.6175
23352        1   19400500   19537812    474      53  258947      0.49615    5.2458e-14      0.49615
23065        1   19541658   19579053    171      30  304217     -0.50442    5.2514e-14     -0.50442
51154        1   19577075   19587122     69      13  393423     -0.27708    5.2458e-14     -0.27708
22977        1   19608557   19616280     46      10  337082      0.29211    5.2458e-14      0.29211
8574         1   19628702   19639640     50      21  294822      0.18299    5.2486e-14      0.18299
54896        1   19637740   19659425    145      27  333253    -0.089532    5.2486e-14    -0.089532
832          1   19664767   19813066    874      53  276250       1.0179    5.2403e-14       1.0179
440574       1   19922471   19956815    178      24  208669       0.5806    5.2514e-14       0.5806
100532736    1   19922471   19985449    344      49  232684      0.32298    5.2458e-14      0.32298
4681         1   19968723   19985449     91      34  273462     -0.14316    5.2486e-14     -0.14316
3362         1   19990780   20006555     81      25  245625       -1.066    5.2403e-14       -1.066
255104       1   20008206   20127424    633     104  291046    -0.030851    5.2479e-14    -0.030851
54546        1   20140022   20142771     30      14  294555     -0.17954    5.2486e-14     -0.17954
23252        1   20207356   20239938    130      35  278121      0.62879    5.2514e-14      0.62879
30814        1   20246300   20251110     34      13  285940     -0.15384    5.2486e-14     -0.15384
5320         1   20301424   20307932     33      18  233376      0.25167    5.2458e-14      0.25167
5322         1   20385157   20418894    196      42  277024     -0.15172    5.2486e-14     -0.15172
26279        1   20438643   20447059     42      20  209480     -0.60963    5.2514e-14     -0.60963
64600        1   20464823   20477379     58      34  172431    -0.073647    5.2486e-14    -0.073647
391013       1   20489984   20502687     60      18  325242      0.82397    5.2514e-14      0.82397
127733       1   20511578   20523040     34      19  188881      -1.1512    5.2403e-14      -1.1512
127731       1   20616412   20682162    395      53  299793       1.0761    5.2403e-14       1.0761
55450        1   20808384   20813728     21      12  210626      -1.1234    5.2403e-14      -1.1234
79594        1   20825441   20835674     59      22  248632    -0.057211    5.2479e-14    -0.057211
163933       1   20877932   20882013     17       6  261274     -0.16846    5.2486e-14     -0.16846
978          1   20914444   20945901    188      39  313598      -0.5417    5.2514e-14      -0.5417
65018        1   20958948   20978504    119      22  304514     -0.56421    5.2514e-14     -0.56421
1650         1   20977760   20989037     59      15  274617      -1.8966    5.2403e-14      -1.8966
57576        1   20989975   21045317    348      83  244351      0.15941    5.2486e-14      0.15941
400745       1   21045725   21060133     68      24  288851      0.14905    5.2486e-14      0.14905
50809        1   21068670   21114808    147      33  304373      0.79106    5.2514e-14      0.79106
8672         1   21132285   21504381   1239      59  258765       2.4322    5.2403e-14       2.4322
1889         1   21543240   21673034    676      89  243575      0.53528    5.2514e-14      0.53528
84224        1   21765583   21811893    242      37  263710      0.52416    5.2514e-14      0.52416
249          1   21834475   21905405    434      54  326680    -0.075176    5.2486e-14    -0.075176
5909         1   21922208   21997010    389      70  322656      0.80569    5.2514e-14      0.80569
84196        1   22004291   22110688    557      53  279552      0.64174    5.2514e-14      0.64174
401944       1   22137758   22152214     85      41  255811      0.73707    5.2514e-14      0.73707
3339         1   22148237   22264750    637      76  263608       1.7235    5.2403e-14       1.7235
23436        1   22302418   22316347    112      21  301628      0.43573    5.2458e-14      0.43573
10136        1   22327149   22339535     64      19   77334       1.4703    5.2403e-14       1.4703
998          1   22378120   22419939    185      42  252282        2.414    5.2403e-14        2.414
54361        1   22443298   22471474    152      40  287094       3.3166    5.2403e-14       3.3166
9923         1   22777344   22858150    284      45  228002      0.83653    5.2514e-14      0.83653
2046         1   22889004   22930587    222      46  323846      -1.4404    5.2403e-14      -1.4404
712          1   22962118   22966675     24       8  279754      -1.8308    5.2403e-14      -1.8308
714          1   22968969   22975103     33       8  346288      0.52597    5.2514e-14      0.52597
713          1   22978682   22988630     47      15  263193        1.085    5.2403e-14        1.085
2048         1   23036263   23242323   1023     124  171198      -1.8722    5.2403e-14      -1.8722
646262       1   23279036   23300524     83      24  302197      -1.2675    5.2403e-14      -1.2675
729059       1   23336827   23343343     25       9  235323       -1.402    5.2403e-14       -1.402
23028        1   23344937   23410684    181      44  199802     -0.42248    5.2458e-14     -0.42248
7798         1   23410016   23505301    303      42  263888     0.063939    5.2486e-14     0.063939
3352         1   23517888   23522222     21      10  234691       0.5001    5.2514e-14       0.5001
10236        1   23635453   23672143    133      34  120549       1.8317    5.2403e-14       1.8317
80818        1   23685441   23697357     49      14  304633       1.4054    5.2403e-14       1.4054
6920         1   23707055   23752269    222      52  250197     -0.18035    5.2486e-14     -0.18035
55616        1   23754556   23811750    223      42  247930     -0.53556    5.2514e-14     -0.53556
1870         1   23832420   23858712    100      25  223382     -0.44387    5.2458e-14     -0.44387
3399         1   23883921   23887285     24      14  222946      0.29535    5.2458e-14      0.29535
6135         1   24017269   24023415     25      10  176078      0.27448    5.2458e-14      0.27448
6924         1   24068856   24089049     71      13  122772      0.56954    5.2514e-14      0.56954
57095        1   24103876   24115222     34      19   92751     -0.75648    5.2514e-14     -0.75648
11313        1   24116275   24122529     14       9  106749     -0.58357    5.2514e-14     -0.58357
2582         1   24121589   24128294     16      11  124126      0.09587    5.2486e-14      0.09587
3155         1   24127867   24166110    103      21  214871       -0.236    5.2486e-14       -0.236
2517         1   24171067   24195859     86      21  239093     -0.75227    5.2514e-14     -0.75227
1269         1   24196505   24286549    384      37  229647      -1.5511    5.2403e-14      -1.5511
55629        1   24285301   24290452      4       2  125159       0.3498    5.2458e-14       0.3498
10772        1   24292435   24307953      7       3  140394      -1.1473    5.2403e-14      -1.1473
127294       1   24382031   24439665    351      48  241556     -0.68396    5.2514e-14     -0.68396
58985        1   24445761   24470783    127      35  260020       0.4364    5.2458e-14       0.4364
163702       1   24480147   24514765    219      44  268207      0.21991    5.2486e-14      0.21991
57822        1   24644812   24691472    207      62  220403      0.25127    5.2458e-14      0.25127
90529        1   24682989   24742587    287      38  251683     -0.87715    5.2514e-14     -0.87715
57185        1   24741245   24799973    339      44  229536     -0.41387    5.2458e-14     -0.41387
11123        1   24827841   24864010    174      33  268031      0.77686    5.2514e-14      0.77686
400746       1   24881567   24936319    317      45  326468      -1.4506    5.2403e-14      -1.4506
10250        1   24968594   25000272     80      33  146788     -0.93938    5.2514e-14     -0.93938
25932        1   25070760   25171315    292      49  156498      0.59751    5.2514e-14      0.59751
864          1   25225502   25292648    291      71  197035      0.50125    5.2514e-14      0.50125
25949        1   25548267   25560013     52      14   71667      -1.2132    5.2403e-14      -1.2132
57035        1   25568240   25575010     32      13   98263       -1.103    5.2403e-14       -1.103
6007         1   25597884   25657436    118      26   24603      0.78144    5.2514e-14      0.78144
23585        1   25663789   25689352     91      26  144315      0.82903    5.2514e-14      0.82903
6006         1   25687353   25748363    210      36  131969       1.3055    5.2403e-14       1.3055
55219        1   25756388   25827200    273      31  179031       2.2533    5.2403e-14       2.2533
26119        1   25869071   25895877    145      30  248022    -0.065033    5.2486e-14    -0.065033
57134        1   25942959   26111758    708      69  179129      0.65859    5.2514e-14      0.65859
57190        1   26125667   26145213     89      20  237212      0.25811    5.2458e-14      0.25811
56181        1   26145397   26159933     58      11  260524     -0.50694    5.2514e-14     -0.50694
79000        1   26157914   26186939    106      11  282021      0.28052    5.2458e-14      0.28052
164091       1   26187475   26203461     60      18  119210      -0.2658    5.2458e-14      -0.2658
3925         1   26210170   26234368     62      20  214406     -0.11409    5.2486e-14     -0.11409
5051         1   26285758   26327366    167      28  247089     -0.69756    5.2514e-14     -0.69756
2134         1   26347266   26363455     68      28  156950      0.79541    5.2514e-14      0.79541
7780         1   26364013   26374439     46      14  226603     -0.26138    5.2458e-14     -0.26138
84676        1   26377292   26395142     87      22  243573     -0.15834    5.2486e-14     -0.15834
149420       1   26436656   26452539     68      12  237709      -1.5658    5.2403e-14      -1.5658
79927        1   26484511   26489619     27      12  308290     -0.87055    5.2514e-14     -0.87055
51042        1   26495388   26497864     14       6  311634      -2.2016    5.2403e-14      -2.2016
10256        1   26502981   26516875     61      27  227983      -1.5167    5.2403e-14      -1.5167
378807       1   26516119   26529533     91      20  317249     -0.73276    5.2514e-14     -0.73276
64793        1   26559644   26606029    230      30  302027      0.77272    5.2514e-14      0.77272
83442        1   26605213   26608513     15       8  168414       1.3872    5.2403e-14       1.3872
91544        1   26608273   26645756    207      28  293554      0.74819    5.2514e-14      0.74819
1043         1   26643411   26647514     30       8  310019       1.1481    5.2403e-14       1.1481
55057        1   26647850   26681621    170      36  299631     -0.88064    5.2514e-14     -0.88064
257101       1   26687625   26702023     83      22  302322     -0.70547    5.2514e-14     -0.70547
79727        1   26736269   26756719     76      32  204236       0.3541    5.2458e-14       0.3541
79947        1   26757773   26798297    135      47  234061      0.97238    5.2514e-14      0.97238
3151         1   26797902   26803633     25      13  253295     -0.90927    5.2514e-14     -0.90927
6195         1   26855249   26902020    179      39  251421      -0.2178    5.2486e-14      -0.2178
101928728    1   27018123   27023896     20       9  246197      0.71826    5.2514e-14      0.71826
8289         1   27021522   27109101    255      37  218646       1.3376    5.2403e-14       1.3376
55650        1   27112739   27125394     32      15  214039        1.051    5.2403e-14        1.051
84243        1   27152201   27184592    113      36  195198      0.32571    5.2458e-14      0.32571
2810         1   27188633   27191447      5       3  197247       1.5232    5.2403e-14       1.5232
54707        1   27205372   27217869     31      12  267452      0.23055    5.2486e-14      0.23055
63906        1   27216479   27227962     24      12  265080      0.71583    5.2514e-14      0.71583
8431         1   27237475   27241567     13       8  261455      0.42591    5.2458e-14      0.42591
10726        1   27247187   27273862     92      32  181713       1.0118    5.2403e-14       1.0118
126695       1   27275547   27287901     34      12  215685        1.271    5.2403e-14        1.271
388610       1   27319189   27327877     29      11  153703      0.26998    5.2458e-14      0.26998
115572       1   27331011   27340333     30      15   88343      0.26226    5.2458e-14      0.26226
