# MEAN_SAMPLE_SIZE = 4448
# TOTAL_GENES = 18367
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
bacterial-cell-wall-synthesi...       SET       8     0.081659    0.0017039      0.35066      0.40793 bacterial-cell-wall-synthesis-inhibitor
Bcr-Abl-kinase-inhibitor              SET      41      0.29407     0.013879      0.15604     0.029748 Bcr-Abl-kinase-inhibitor
benzodiazepine-receptor-agon...       SET      37     0.096201    0.0043136      0.17554      0.29184 benzodiazepine-receptor-agonist
benzodiazepine-receptor-anta...       SET      13     -0.19407   -0.0051614      0.32144      0.72699 benzodiazepine-receptor-antagonist
bile-acid                             SET      16     -0.36845     -0.01087       0.2105      0.95996 bile-acid
biliverdin-reductase-A-activ...       SET       2      0.16201    0.0016906      0.58917      0.39167 biliverdin-reductase-A-activator
bone-resorption-inhibitor             SET       9     0.019757   0.00043725      0.28643       0.4725 bone-resorption-inhibitor
calcineurin-inhibitor                 SET      11      0.13828    0.0033831      0.29297      0.31847 calcineurin-inhibitor
calcium-channel-blocker               SET      64     -0.12077   -0.0071167      0.12659      0.82995 calcium-channel-blocker
calcium-sensitizer                    SET       4      0.19034    0.0028087      0.45328      0.33728 calcium-sensitizer
capillary-stabilizing-agent           SET       2     -0.37007   -0.0038616      0.79003      0.68026 capillary-stabilizing-agent
carbonic-anhydrase-activator          SET      11     -0.41484    -0.010149      0.31305      0.90743 carbonic-anhydrase-activator
carbonic-anhydrase-inhibitor          SET      44     -0.25357    -0.012397      0.15949      0.94406 carbonic-anhydrase-inhibitor
carboxamide-antiepileptic             SET      10      0.10849    0.0025308       0.3745      0.38603 carboxamide-antiepileptic
CC-chemokine-receptor-antago...       SET       3      0.74614    0.0095354      0.64292      0.12292 CC-chemokine-receptor-antagonist
CDK-inhibitor                         SET       2     -0.33884   -0.0035358      0.59808      0.71449 CDK-inhibitor
chelating-agent                       SET       7     -0.29748   -0.0058066      0.35135      0.80141 chelating-agent
chloride-channel-blocker              SET       4     -0.42036   -0.0062029      0.52561      0.78807 chloride-channel-blocker
cholesterol-inhibitor                 SET       4    -0.032044  -0.00047285      0.40832      0.53128 cholesterol-inhibitor
cholinergic-receptor-agonist          SET       6     -0.31394   -0.0056734      0.40774      0.77933 cholinergic-receptor-agonist
cholinergic-receptor-antagon...       SET       6   -0.0018952   -3.425e-05      0.38204      0.50198 cholinergic-receptor-antagonist
cholinesterase-inhibitor              SET       2      0.37697    0.0039336      0.55139      0.24709 cholinesterase-inhibitor
coagulation-factor-inhibitor          SET       2     -0.36795   -0.0038394      0.71047      0.69773 coagulation-factor-inhibitor
cyclooxygenase-inhibitor              SET      57     -0.11769   -0.0065461      0.13256      0.81267 cyclooxygenase-inhibitor
cytochrome-P450-inhibitor             SET      24     -0.26906   -0.0097199      0.20094      0.90971 cytochrome-P450-inhibitor
dehydrogenase-inhibitor               SET       3      0.59332    0.0075823      0.37976     0.059111 dehydrogenase-inhibitor
dihydrofolate-reductase-inhi...       SET       5     0.006479   0.00010689      0.40697      0.49365 dihydrofolate-reductase-inhibitor
dihydroorotate-dehydrogenase...       SET       3     -0.18597   -0.0023767      0.57805      0.62617 dihydroorotate-dehydrogenase-inhibitor
diuretic                              SET       7    -0.010616  -0.00020722      0.36283      0.51167 diuretic
D-alkylating-agent                    SET      19     0.016478   0.00052974      0.24464      0.47315 D-alkylating-agent
D-inhibitor                           SET       4      0.18336    0.0027057      0.39872      0.32281 D-inhibitor
D-methyltransferase-inhibitor         SET       4     -0.64439   -0.0095088      0.40936      0.94226 D-methyltransferase-inhibitor
D-synthesis-inhibitor                 SET      21      -0.1506   -0.0050895      0.20137      0.77273 D-synthesis-inhibitor
dopamine-precursor                    SET       5      0.28547    0.0047096      0.47675      0.27466 dopamine-precursor
dopamine-receptor-agonist             SET      29    -0.082461   -0.0032742      0.19155      0.66658 dopamine-receptor-agonist
dopamine-receptor-antagonist          SET      69    -0.047998   -0.0029365       0.1165      0.65983 dopamine-receptor-antagonist
dopamine-reuptake-inhibitor           SET       2    -0.023309  -0.00024323      0.68211      0.51363 dopamine-reuptake-inhibitor
EGFR-inhibitor                        SET      27      -0.1142   -0.0043754      0.18722      0.72906 EGFR-inhibitor
endothelin-receptor-antagoni...       SET       2     -0.20055   -0.0020927      0.74996      0.60542 endothelin-receptor-antagonist
ephrin-inhibitor                      SET      16      0.12568     0.003708      0.24853      0.30654 ephrin-inhibitor
estrogen-receptor-agonist             SET       6     -0.17491   -0.0031609      0.41215      0.66435 estrogen-receptor-agonist
estrogen-receptor-antagonist          SET      14      0.14217    0.0039237      0.27975      0.30566 estrogen-receptor-antagonist
estrogenic-hormone                    SET       3      -0.2451   -0.0031323      0.60001      0.65854 estrogenic-hormone
FABI-inhibitor                        SET       5     -0.10308   -0.0017005      0.33727      0.62005 FABI-inhibitor
FGFR-inhibitor                        SET      20  -0.00088916  -2.9326e-05      0.23298      0.50152 FGFR-inhibitor
FLT3-inhibitor                        SET      28     0.066722    0.0026032      0.19595      0.36674 FLT3-inhibitor
folate-receptor-ligand                SET       4     -0.64482   -0.0095151      0.51761      0.89357 folate-receptor-ligand
food-preservative                     SET       2       1.2655     0.013206      0.56004     0.011925 food-preservative
FXR-agonist                           SET       2        0.208    0.0021705      0.62141      0.36892 FXR-agonist
G-protein-coupled-receptor-a...       SET       2      0.16201    0.0016906      0.58917      0.39167 G-protein-coupled-receptor-agonist
GABA-receptor-antagonist              SET      29     0.038629    0.0015338      0.21546      0.42886 GABA-receptor-antagonist
GABA-receptor-modulator               SET      18     -0.12623   -0.0039497      0.26274      0.68453 GABA-receptor-modulator
glucocorticoid-receptor-agon...       SET      12     -0.19853   -0.0050731       0.2765      0.76362 glucocorticoid-receptor-agonist
glucocorticoid-receptor-anta...       SET       5    0.0054374   8.9704e-05      0.48832      0.49556 glucocorticoid-receptor-antagonist
glucosidase-inhibitor                 SET       5     -0.19319   -0.0031872      0.37809      0.69531 glucosidase-inhibitor
glutamate-inhibitor                   SET      15      0.23365    0.0066747      0.28835      0.20889 glutamate-inhibitor
glutamate-receptor-antagonist         SET      65    -0.041655   -0.0024737      0.12616      0.62937 glutamate-receptor-antagonist
glutamate-receptor-modulator          SET       6      -0.7897    -0.014271      0.39233      0.97793 glutamate-receptor-modulator
gonadotropin-releasing-facto...       SET       2       1.1421     0.011917      0.66907     0.043926 gonadotropin-releasing-factor-hormone-receptor-agonist
growth-factor-receptor-activ...       SET      16      -0.1972   -0.0058179      0.27405       0.7641 growth-factor-receptor-activator
HDAC-inhibitor                        SET      27      0.14282     0.005472      0.19678      0.23399 HDAC-inhibitor
hemozoin-biocrystallization-...       SET       4     -0.17064    -0.002518      0.50578      0.63209 hemozoin-biocrystallization-inhibitor
histamine-receptor-agonist            SET       9     -0.51384    -0.011372      0.34963      0.92916 histamine-receptor-agonist
histamine-receptor-antagonist         SET      25     0.012114   0.00044665      0.17571      0.47252 histamine-receptor-antagonist
histamine-receptor-modulator          SET      10      0.23983    0.0055947      0.28371      0.19897 histamine-receptor-modulator
HIV-protease-inhibitor                SET      10    -0.013164   -0.0003071      0.31488      0.51667 HIV-protease-inhibitor
HMGCR-inhibitor                       SET      24     0.098446    0.0035564      0.21069      0.32016 HMGCR-inhibitor
hydantoin-antiepileptic               SET      10      0.10849    0.0025308       0.3745      0.38603 hydantoin-antiepileptic
hydroxy-radical-formation-st...       SET       3     -0.78937    -0.010088       0.4592      0.95718 hydroxy-radical-formation-stimulant
imidazoline-receptor-agonist          SET       3     -0.28683   -0.0036656      0.55061      0.69879 imidazoline-receptor-agonist
imidazoline-receptor-ligand           SET       7     0.072714    0.0014193      0.36632      0.42133 imidazoline-receptor-ligand
immunosuppressant                     SET       9     0.058056    0.0012849      0.28279      0.41867 immunosuppressant
inositol-monophosphatase-inh...       SET       2     0.045692   0.00047679      0.51742      0.46482 inositol-monophosphatase-inhibitor
insulin-secretagogue                  SET      13     -0.68437    -0.018201      0.28286      0.99222 insulin-secretagogue
insulin-sensitizer                    SET       3      0.36597     0.004677      0.57109      0.26082 insulin-sensitizer
JAK-inhibitor                         SET       5    -0.024762  -0.00040851      0.45679      0.52162 JAK-inhibitor
kainate-receptor-antagonist           SET      36     -0.18882   -0.0083515      0.17349      0.86177 kainate-receptor-antagonist
KATP-activator                        SET       6     -0.88537       -0.016      0.41248      0.98407 KATP-activator
Kir6-channel-(KATP)-activator         SET       6     -0.88537       -0.016      0.41248      0.98407 Kir6-channel-(KATP)-activator
KIT-inhibitor                         SET      37      0.19923    0.0089334      0.16866      0.11875 KIT-inhibitor
lanosterol-demethylase-inhib...       SET       4      0.96061     0.014175      0.41976     0.011061 lanosterol-demethylase-inhibitor
leukotriene-receptor-antagon...       SET      16     0.062138    0.0018332      0.23545      0.39593 leukotriene-receptor-antagonist
leukotriene-synthesis-inhibi...       SET       3     -0.36802   -0.0047032      0.59499      0.73189 leukotriene-synthesis-inhibitor
lipase-inhibitor                      SET       7      0.11253    0.0021965      0.37798      0.38296 lipase-inhibitor
lipoprotein-lipase-activator          SET       5      0.21244    0.0035047      0.46127      0.32256 lipoprotein-lipase-activator
lipoxygenase-inhibitor                SET       7    -0.090991   -0.0017761      0.36602      0.59816 lipoxygenase-inhibitor
local-anesthetic                      SET       5     -0.87553    -0.014444      0.41129      0.98336 local-anesthetic
MEK-inhibitor                         SET       2      0.70538    0.0073605      0.75057      0.17367 MEK-inhibitor
melatonin-receptor-agonist            SET      11      -0.1024   -0.0025053      0.30965      0.62956 melatonin-receptor-agonist
membrane-integrity-inhibitor          SET      11      0.16134    0.0039474      0.35501      0.32474 membrane-integrity-inhibitor
membrane-permeability-inhibi...       SET      23     0.040236     0.001423      0.23219      0.43121 membrane-permeability-inhibitor
microtubule-inhibitor                 SET      25    0.0055313   0.00020394      0.18769      0.48824 microtubule-inhibitor
mineralocorticoid-receptor-a...       SET      21   -0.0049222  -0.00016635       0.2084      0.50942 mineralocorticoid-receptor-antagonist
mitochondrial-D-polymerase-i...       SET      13     -0.15156    -0.004031      0.24256      0.73397 mitochondrial-D-polymerase-inhibitor
monoamine-oxidase-inhibitor           SET       9     -0.13088   -0.0028965      0.31393      0.66162 monoamine-oxidase-inhibitor
mTOR-inhibitor                        SET       2      0.08442   0.00088091      0.77164      0.45644 mTOR-inhibitor
mucolytic-agent                       SET      11     -0.45142    -0.011044      0.29085      0.93967 mucolytic-agent
muscle-relaxant                       SET       2      0.11532    0.0012033      0.46294      0.40165 muscle-relaxant
D-precursor                           SET       6     -0.22991   -0.0041548      0.50716      0.67484 D-precursor
DPH-inhibitor                         SET       3      0.09853    0.0012592      0.38388      0.39872 DPH-inhibitor
neuraminidase-inhibitor               SET       3     -0.28964   -0.0037015      0.61436      0.68134 neuraminidase-inhibitor
neurotransmitter                      SET      11     -0.41484    -0.010149      0.31305      0.90743 neurotransmitter
NFkB-pathway-inhibitor                SET      29    -0.034851   -0.0013838      0.15803      0.58727 NFkB-pathway-inhibitor
Niemann-Pick-C1-like-1-prote...       SET       3     0.046569   0.00059514      0.51624      0.46406 Niemann-Pick-C1-like-1-protein-antagonist
nitric-oxide-stimulant                SET      14     -0.24173   -0.0066714      0.29174      0.79633 nitric-oxide-stimulant
nitric-oxide-synthase-inhibi...       SET      10      -0.1581   -0.0036881      0.32241      0.68806 nitric-oxide-synthase-inhibitor
non-nucleoside-reverse-trans...       SET      10      0.17951    0.0041876       0.2944      0.27102 non-nucleoside-reverse-transcriptase-inhibitor
norepinephrine-inhibitor              SET      35       -0.077   -0.0033582      0.17635      0.66881 norepinephrine-inhibitor
norepinephrine-precursor              SET      10      -0.4714    -0.010997      0.33249      0.92187 norepinephrine-precursor
norepinephrine-reputake-inhi...       SET      45     -0.13873   -0.0068587      0.15884      0.80878 norepinephrine-reputake-inhibitor
norepinephrine-reuptake-inhi...       SET      35    -0.083315   -0.0036336      0.17624      0.68179 norepinephrine-reuptake-inhibitor
norepinephrine-transporter-i...       SET      10       0.3759     0.008769      0.30933      0.11215 norepinephrine-transporter-inhibitor
nucleoside-reverse-transcrip...       SET       2     -0.82172   -0.0085745      0.76104      0.85986 nucleoside-reverse-transcriptase-inhibitor
opioid-receptor-agonist               SET       7      0.20709    0.0040422      0.40519      0.30465 opioid-receptor-agonist
opioid-receptor-antagonist            SET       8     -0.43011   -0.0089747      0.36507      0.88063 opioid-receptor-antagonist
ornithine-decarboxylase-inhi...       SET       2     -0.37946   -0.0039596      0.62706      0.72745 ornithine-decarboxylase-inhibitor
osteoclast-inhibitor                  SET       4      0.21071    0.0031093      0.37235      0.28574 osteoclast-inhibitor
oxazolidine-antiepileptic             SET       3     -0.29139   -0.0037238      0.63329      0.67728 oxazolidine-antiepileptic
PARP-inhibitor                        SET       2     -0.72745   -0.0075908      0.53663      0.91237 PARP-inhibitor
PDGFR-tyrosine-kinase-recept...       SET      43      0.15481    0.0074819      0.15337      0.15641 PDGFR-tyrosine-kinase-receptor-inhibitor
penicillin-binding-protein-i...       SET       4     -0.13449   -0.0019846      0.38867      0.63534 penicillin-binding-protein-inhibitor
phenylalanine-4-hydroxylase-...       SET       4     -0.39544   -0.0058352      0.51069      0.78063 phenylalanine-4-hydroxylase-stimulant
phosphatase-inhibitor                 SET      13     -0.15156    -0.004031      0.24256      0.73397 phosphatase-inhibitor
phosphodiesterase-inhibitor           SET      55      0.13628    0.0074465      0.12444      0.13674 phosphodiesterase-inhibitor
PI3K-inhibitor                        SET       4      0.26244    0.0038726      0.51102      0.30379 PI3K-inhibitor
PKC-activator                         SET       5      0.20485    0.0033795      0.47785      0.33408 PKC-activator
PKC-inhibitor                         SET       4       0.4606    0.0067967      0.53161      0.19314 PKC-inhibitor
plasminogen-activator-inhibi...       SET       3       0.3844    0.0049125       0.5981      0.26021 plasminogen-activator-inhibitor
platelet-activating-factor-r...       SET       2     -0.68662   -0.0071647       0.4486      0.93705 platelet-activating-factor-receptor-antagonist
platelet-aggregation-inhibit...       SET      23     -0.38709     -0.01369      0.21512      0.96401 platelet-aggregation-inhibitor
polar-auxin-transport-inhibi...       SET       6     -0.55648    -0.010057       0.4395      0.89727 polar-auxin-transport-inhibitor
potassium-channel-activator           SET      11     -0.42562    -0.010413      0.28468      0.93254 potassium-channel-activator
potassium-channel-blocker             SET      45     0.090468    0.0044726      0.15029      0.27361 potassium-channel-blocker
PPAR-receptor-agonist                 SET       5     -0.45259   -0.0074666      0.46728      0.83361 PPAR-receptor-agonist
progesterone-receptor-agonist         SET      16      0.30882     0.009111      0.23248     0.092034 progesterone-receptor-agonist
progesterone-receptor-antago...       SET       4     -0.39013   -0.0057568      0.54664      0.76228 progesterone-receptor-antagonist
progestogen-hormone                   SET       2     -0.20277   -0.0021158      0.77127      0.60369 progestogen-hormone
prolactin-inhibitor                   SET      14     -0.33806   -0.0093299      0.28747      0.88019 prolactin-inhibitor
prostacyclin-analog                   SET       8     -0.15006   -0.0031311      0.36304      0.66032 prostacyclin-analog
prostaglandin-receptor-agoni...       SET       5     -0.63209    -0.010428      0.45422      0.91797 prostaglandin-receptor-agonist
prostanoid-receptor-agonist           SET      14       0.3614    0.0099741      0.24302     0.068502 prostanoid-receptor-agonist
prostanoid-receptor-antagoni...       SET      20     -0.14135   -0.0046618      0.22304      0.73687 prostanoid-receptor-antagonist
proteasome-inhibitor                  SET      22     0.018243   0.00063101      0.18178      0.46003 proteasome-inhibitor
protein-synthesis-inhibitor           SET      11     0.066719    0.0016323      0.24481      0.39261 protein-synthesis-inhibitor
protein-synthesis-stimulant           SET      33      0.11021    0.0046675      0.17488      0.26429 protein-synthesis-stimulant
proton-pump-inhibitor                 SET       2      0.28664    0.0029911      0.72003      0.34528 proton-pump-inhibitor
purine-antagonist                     SET       3      0.59332    0.0075823      0.37976     0.059111 purine-antagonist
RAF-inhibitor                         SET      22     -0.07614   -0.0026336      0.22065      0.63498 RAF-inhibitor
reducing-agent                        SET       3     0.070519   0.00090121      0.47215      0.44064 reducing-agent
RET-tyrosine-kinase-inhibitor         SET      41     0.017105   0.00080726      0.15489      0.45603 RET-tyrosine-kinase-inhibitor
retinoid-receptor-agonist             SET      16     -0.09903   -0.0029217      0.21853      0.67478 retinoid-receptor-agonist
retinoid-receptor-ligand              SET      29     0.031572    0.0012536      0.17222      0.42727 retinoid-receptor-ligand
rho-associated-kinase-inhibi...       SET       4      0.52535    0.0077521      0.44324      0.11797 rho-associated-kinase-inhibitor
ribonucleotide-reductase-inh...       SET      14   0.00094649   2.6122e-05      0.23209      0.49837 ribonucleotide-reductase-inhibitor
R-polymerase-inhibitor                SET       8      0.25719    0.0053666      0.33064      0.21834 R-polymerase-inhibitor
R-synthesis-inhibitor                 SET       2      0.51075    0.0053296      0.56168      0.18159 R-synthesis-inhibitor
selective-estrogen-receptor-...       SET      11    -0.075079   -0.0018369      0.31258      0.59491 selective-estrogen-receptor-modulator-(SERM)
selective-serotonin-reuptake...       SET      13    -0.085498   -0.0022739      0.28148      0.61934 selective-serotonin-reuptake-inhibitor-(SSRI)
serine-protease-inhibitor             SET       6     -0.23923   -0.0043234      0.40534      0.72247 serine-protease-inhibitor
serotonin-receptor-agonist            SET      29    -0.094779   -0.0037632      0.19157      0.68961 serotonin-receptor-agonist
serotonin-receptor-antagonist         SET      79    -0.024724    -0.001618      0.12108      0.58089 serotonin-receptor-antagonist
serotonin-receptor-inverse-a...       SET       2      0.98429     0.010271      0.74952     0.094563 serotonin-receptor-inverse-agonist
serotonin-receptor-partial-a...       SET       4      -0.8696    -0.012832      0.52228      0.95204 serotonin-receptor-partial-agonist
serotonin-reuptake-inhibitor          SET      27     -0.15682   -0.0060082      0.20106      0.78228 serotonin-reuptake-inhibitor
serotonin-transporter-(SERT)...       SET       6      0.27337    0.0049403      0.41109      0.25303 serotonin-transporter-(SERT)-inhibitor
serotoninâ€“norepinephr...       SET      35    -0.083315   -0.0036336      0.17624      0.68179 serotoninâ€“norepinephrine-reuptake-inhibitor-(SNRI)
sigma-receptor-agonist                SET      19     -0.01368  -0.00043979       0.2269      0.52404 sigma-receptor-agonist
sodium-channel-blocker                SET      63     -0.09379   -0.0054837      0.12641      0.77093 sodium-channel-blocker
sodium/glucose-cotransporter...       SET       3      0.56018    0.0071589      0.54074      0.15012 sodium/glucose-cotransporter-inhibitor
sodium/potassium/chloride-tr...       SET       9     -0.15512   -0.0034329      0.32017      0.68597 sodium/potassium/chloride-transporter-inhibitor
solute-carrier-family-member...       SET       6      -0.1624   -0.0029349      0.34631      0.68045 solute-carrier-family-member-inhibitor
somatostatin-receptor-agonist         SET       7     -0.29015   -0.0056635      0.38833      0.77251 somatostatin-receptor-agonist
sphingosine-1-phosphate-rece...       SET       2     -0.78549   -0.0081964      0.72456      0.86083 sphingosine-1-phosphate-receptor-agonist
SRC-inhibitor                         SET      31      0.21629    0.0088786      0.17779       0.1119 SRC-inhibitor
steroid                               SET       2     -0.95595   -0.0099752      0.51531       0.9682 steroid
sterol-demethylase-inhibitor          SET       6       0.7534     0.013615      0.36843     0.020441 sterol-demethylase-inhibitor
structural-glycoprotein-anta...       SET       2     0.026422    0.0002757      0.70249        0.485 structural-glycoprotein-antagonist
succinimide-antiepileptic             SET       3     -0.29139   -0.0037238      0.63329      0.67728 succinimide-antiepileptic
sulfonylurea                          SET      13     -0.68437    -0.018201      0.28286      0.99222 sulfonylurea
synthetic-estrogen                    SET       3     -0.40221   -0.0051401      0.60026      0.74859 synthetic-estrogen
T-type-calcium-channel-block...       SET      31     -0.13936   -0.0057205      0.18138      0.77884 T-type-calcium-channel-blocker
TGF-beta-receptor-inhibitor           SET       2     -0.14644    -0.001528      0.55652      0.60377 TGF-beta-receptor-inhibitor
thiazide-diuretic                     SET       9     -0.26497   -0.0058642      0.31748      0.79803 thiazide-diuretic
thrombin-inhibitor                    SET       2      0.10946    0.0011422      0.58054      0.42522 thrombin-inhibitor
thromboxane-receptor-antagon...       SET       2      0.58868    0.0061427      0.70153       0.2007 thromboxane-receptor-antagonist
thromboxane-synthase-inhibit...       SET       6      -0.3457   -0.0062473      0.42873      0.78997 thromboxane-synthase-inhibitor
thymidylate-synthase-inhibit...       SET       5      0.18177    0.0029987      0.40632      0.32732 thymidylate-synthase-inhibitor
thyroid-hormone-stimulant             SET       2       1.3507     0.014095      0.67996     0.023497 thyroid-hormone-stimulant
thyroid-peroxidase-inhibitor          SET       2      -1.2153    -0.012681      0.66271      0.96665 thyroid-peroxidase-inhibitor
topoisomerase-inhibitor               SET       6     -0.14948   -0.0027014      0.33007      0.67468 topoisomerase-inhibitor
tricyclic-antidepressant              SET      24     -0.23731   -0.0085731      0.20324      0.87852 tricyclic-antidepressant
TRPV-agonist                          SET       4     -0.93879    -0.013853      0.40807      0.98929 TRPV-agonist
tubulin-polymerization-inhib...       SET      27     0.075466    0.0028914      0.18186      0.33908 tubulin-polymerization-inhibitor
tyrosinase-inhibitor                  SET       3     -0.44184   -0.0056465      0.52669      0.79923 tyrosinase-inhibitor
tyrosine-kinase-inhibitor             SET      16      0.12568     0.003708      0.24853      0.30654 tyrosine-kinase-inhibitor
uricosuric-blocker                    SET       5      0.13592    0.0022423      0.47912      0.38833 uricosuric-blocker
vasodilator                           SET       6     -0.88537       -0.016      0.41248      0.98407 vasodilator
vasopressin-receptor-agonist          SET       2      0.48613    0.0050727      0.78241       0.2672 vasopressin-receptor-agonist
vasopressin-receptor-antagon...       SET       2      0.48613    0.0050727      0.78241       0.2672 vasopressin-receptor-antagonist
VEGFR-inhibitor                       SET      48     0.085036    0.0043416       0.1422      0.27492 VEGFR-inhibitor
vesicular-monoamine-transpor...       SET       2      0.17472    0.0018232      0.78664      0.41211 vesicular-monoamine-transporter-inhibitor
vitamin-B                             SET      13      -0.1175    -0.003125      0.30518      0.64989 vitamin-B
vitamin-D-receptor-agonist            SET       2       0.3429    0.0035781      0.55166      0.26712 vitamin-D-receptor-agonist
vitamin-K-antagonist                  SET       9     0.074456    0.0016478      0.29497      0.40036 vitamin-K-antagonist
voltage-gated-sodium-channel...       SET      13    -0.037553  -0.00099875      0.27594      0.55413 voltage-gated-sodium-channel-blocker
